,1.18_filename,BTW_filename,1.18_filepath,BTW_filepath,delete
0,pumpkinblur,pumpkinblur,1.18/assets/minecraft/textures/misc/pumpkinblur.png,BTW/misc/pumpkinblur.png,
1,vignette,vignette,1.18/assets/minecraft/textures/misc/vignette.png,BTW/misc/vignette.png,
2,unknown_pack,unknown_pack,1.18/assets/minecraft/textures/misc/unknown_pack.png,BTW/gui/unknown_pack.png,
3,shadow,shadow,1.18/assets/minecraft/textures/misc/shadow.png,BTW/misc/shadow.png,
4,snow_golem,snowman,1.18/assets/minecraft/textures/entity/snow_golem.png,BTW/mob/snowman.png,
5,squid,squid,1.18/assets/minecraft/textures/entity/squid.png,BTW/mob/squid.png,
6,chicken,chickenRaw,1.18/assets/minecraft/textures/item/chicken.png,BTW/textures/items/chickenRaw.png,
7,arrow,arrow,1.18/assets/minecraft/textures/item/arrow.png,BTW/textures/items/arrow.png,
8,witch,witch,1.18/assets/minecraft/textures/entity/witch.png,BTW/mob/villager/witch.png,
9,spider_eyes,spider_eyes,1.18/assets/minecraft/textures/entity/spider_eyes.png,BTW/mob/spider_eyes.png,
10,silverfish,silverfish,1.18/assets/minecraft/textures/entity/silverfish.png,BTW/mob/silverfish.png,
11,minecart,minecart,1.18/assets/minecraft/textures/item/minecart.png,BTW/textures/items/minecart.png,
12,blaze,fire,1.18/assets/minecraft/textures/entity/blaze.png,BTW/mob/fire.png,
13,experience_orb,xporb,1.18/assets/minecraft/textures/entity/experience_orb.png,BTW/item/xporb.png,
14,bat,bat,1.18/assets/minecraft/textures/entity/bat.png,BTW/mob/bat.png,
15,end_portal,particlefield,1.18/assets/minecraft/textures/entity/end_portal.png,BTW/misc/particlefield.png,
16,siamese,cat_siamese,1.18/assets/minecraft/textures/entity/cat/siamese.png,BTW/mob/cat_siamese.png,
17,ocelot,ozelot,1.18/assets/minecraft/textures/entity/cat/ocelot.png,BTW/mob/ozelot.png,
18,creeper_armor,power,1.18/assets/minecraft/textures/entity/creeper/creeper_armor.png,BTW/armor/power.png,
19,bricks,fcBlockDecorativeBrick,1.18/assets/minecraft/textures/block/bricks.png,BTW/textures/blocks/fcBlockDecorativeBrick.png,
20,iron_golem,villager_golem,1.18/assets/minecraft/textures/entity/iron_golem/iron_golem.png,BTW/mob/villager_golem.png,
21,pig,pig,1.18/assets/minecraft/textures/entity/pig/pig.png,BTW/mob/pig.png,
22,pig_saddle,saddle,1.18/assets/minecraft/textures/entity/pig/pig_saddle.png,BTW/mob/saddle.png,
23,enderman,enderman,1.18/assets/minecraft/textures/entity/enderman/enderman.png,BTW/mob/enderman.png,
24,enderman_eyes,enderman_eyes,1.18/assets/minecraft/textures/entity/enderman/enderman_eyes.png,BTW/mob/enderman_eyes.png,
